Chromosome Position(bp) Rate(cM/Mb) Map(cM)
16 244385 0 0
16 287279 0.0481022986897934 0.002063297
16 332804 0.0460514003294893 0.004159786
16 359335 0.0845049187742641 0.006401789
16 719450 0.112381322633048 0.046872001
16 756359 1.36697011568994 0.097325507
16 791646 0.923036812423839 0.12989669
16 887795 0.33875755338069 0.162467873
16 951455 0.202770970782281 0.175376281
16 973413 0.653647873212497 0.189729117
16 1001450 0.247536826336627 0.196669311
16 1030157 0.281928797854182 0.20476264
16 1063379 0.304840166154958 0.21489004
16 1124008 0.177004403833149 0.225621656
16 1147051 0.466905350865773 0.236380605
16 1189722 0.381992453891402 0.25268065
16 1209875 1.16101324864784 0.276078543
16 1306469 0.252052922541773 0.300425316
16 1350556 0.632209041213963 0.328297549
16 1395952 0.7788439510089 0.363653914
16 1432322 0.972130877096508 0.399010279
16 1456618 1.55765146526177 0.436855027
16 1480344 1.23446008598162 0.466143851
16 1511370 1.0352704183588 0.498264178
16 1576145 0.561722886916249 0.534649768
16 1599816 1.21278779941701 0.563357675
16 1629696 1.17608768406961 0.598499158
16 1659699 1.17016298370163 0.63360757
16 1700932 0.851463633497441 0.668715981
16 1758101 0.614116041910826 0.703824392
16 1791082 1.06695976471302 0.739013763
16 1829795 0.908981479089712 0.774203134
16 1873661 0.893954315415128 0.81341734
16 2002725 0.30498512365958 0.852779911
16 2037671 1.09557889314943 0.891065998
16 2087363 0.805035015696692 0.931069831
16 2156593 0.578892098801098 0.971146527
16 2195385 0.708468240874407 0.998629378
16 2240060 0.61517403469502 1.026112229
16 2288457 0.567863710560572 1.053595081
16 2308888 1.71298516959522 1.088593052
16 2351291 0.82536612975497 1.123591024
16 2419919 0.596212916010958 1.164507937
16 2500571 0.506880176561028 1.205388885
16 2521425 1.7680349093699 1.242259496
16 2621771 0.367434676020967 1.279130106
16 2830326 0.184737359449546 1.317657981
16 2856945 1.64784552387392 1.361521954
16 2899686 1.0262745373295 1.405385927
16 2983544 0.611253547663908 1.456644445
16 3011900 1.80767738750176 1.507902964
16 3045760 1.51365327820437 1.559155248
16 3068532 2.25735991568593 1.610559836
16 3102760 1.41028689961435 1.658831128
16 3127512 2.11421703296703 1.711162221
16 3162062 1.5146483357453 1.763493314
16 3201199 1.27583105501188 1.813425525
16 3242506 1.2102597622679 1.86341776
16 3266425 2.09006229357415 1.913409996
16 3343651 0.647570766322223 1.963419284
16 3428776 0.587480763582966 2.013428572
16 3453206 2.04704461727384 2.06343786
16 3593682 0.387003473903015 2.117802539
16 3619509 1.84760134742711 2.165520579
16 3640699 2.82176498348278 2.225313817
16 3670316 2.01888104804673 2.285107055
16 3773488 0.579548714767573 2.344900294
16 3810238 1.62702585034014 2.404693532
16 3845678 1.71827595936795 2.465589187
16 3880009 1.9224287087472 2.531588055
16 3912733 2.52010451045105 2.614055915
16 3954831 1.96756615516177 2.696886563
16 4106340 0.470997762509158 2.768246947
16 4137251 2.87426158972534 2.85709329
16 4171293 2.60994359908348 2.94594099
16 4244946 1.17283477930295 3.032323836
16 4265692 4.1487997686301 3.118394865
16 4288023 2.34313286462765 3.170719376
16 4333882 1.76637083233389 3.251723418
16 4382439 1.66822497271248 3.33272746
16 4430946 1.26732018059249 3.394201395
16 4454087 3.41344367140573 3.473191864
16 4478809 3.37563708437829 3.556644326
16 4542551 1.41179128361206 3.646634693
16 4685301 0.584247285464098 3.730036039
16 4713717 2.79163499436937 3.809363107
16 4746512 1.84773898460131 3.869959754
16 4777673 1.33547062032669 3.911574382
16 4831223 0.870586367880485 3.958194326
16 4982970 0.319442229500419 4.006668767
16 5030301 0.82540406921468 4.045735997
16 5085279 0.825250100040016 4.091106624
16 5114057 1.45089304329696 4.132860375
16 5151533 1.11414772120824 4.174614127
16 5203502 0.731761242279051 4.212643031
16 5243133 0.958186772980747 4.25061691
16 5296637 0.709739458732057 4.288590788
16 5397596 0.395218851216831 4.328491731
16 5588286 0.209244847658503 4.368392674
16 6121692 0.0928227279033232 4.417904861
16 6308221 0.223848302408741 4.45965905
16 6329170 1.99313571053511 4.501413238
16 6421207 0.39723154818171 4.537973243
16 6446024 1.39885562316154 4.572688632
16 6529002 0.474493239171829 4.612061137
16 6549899 1.87828396420539 4.651311593
16 6614897 0.593602880088618 4.68989455
16 6656521 0.791785988852585 4.722851818
16 6685994 1.6771112543684 4.772281311
16 6719503 1.47511116416485 4.821710804
16 6781530 0.796902961613491 4.871140297
16 7392412 0.113719016111131 4.940609185
16 7428219 1.29644482922334 4.987030991
