Chromosome Position(bp) Rate(cM/Mb) Map(cM)
23 0 0 0
23 148759 0.00155534584600329 0
23 492091 0.0292471042471042 0.00053381
23 512811 0.00415181452902491 0.00113975
23 684784 0.0100576804614437 0.00185411
23 863354 0.0186812847118466 0.00364992
23 1057452 0.0241893039347092 0.00727574
23 1199953 0.0226719951199293 0.01072234
23 1327820 0.075068817370276 0.01362153
23 1366691 0.0183019041853211 0.01653988
23 1768070 0.0868243310159051 0.02388559
23 1869044 0.0685917296023877 0.03265302
23 2001057 0.344856941925454 0.04170816
23 2028074 0.157804309112343 0.05102555
23 2107812 0.13501332994795 0.063609
23 2202336 0.223772117749742 0.07637053
23 2265351 0.469501231937138 0.09047108
23 2295385 0.377219092165409 0.10457163
23 2333013 0.044235569836041 0.11876613
23 2653886 0.336208508648901 0.13296063
23 2696666 0.156105389274212 0.14734372
23 2787643 0.339880330515718 0.16154559
23 2840288 0.194728505080764 0.17943861
23 2933089 0.409352355072464 0.19750938
23 2977249 0.369690409780331 0.2155868
23 3049312 0.313679550387374 0.24222739
23 3118883 0.580375387875577 0.26405085
23 3145309 0.547813799288024 0.27938771
23 3182108 0.394189966866244 0.29954694
23 3250920 0.620079509157341 0.32667151
23 3294437 1.56989013379745 0.35365569
23 3322016 0.53832482226895 0.39695126
23 3401912 1.19276018099547 0.43996099
23 3441692 2.05616777883699 0.48740889
23 3467917 0.644674693361063 0.54133177
23 3547734 2.48832148556507 0.59278827
23 3568413 0.926017240448468 0.64424476
23 3623980 1.64127856834843 0.69570126
23 3661084 1.83641155057284 0.75659907
23 3705861 1.61111111111111 0.83882846
23 3744075 0.447058536307484 0.90039505
23 3866956 0.657518873699245 0.95532961
23 3964976 0.734063030330641 1.01977921
23 4052775 0.51516709047954 1.08422882
23 4163673 0.658752853815465 1.14135971
23 4250399 1.4186498478237 1.1984906
23 4277670 0.931269304667169 1.23717819
23 4318787 1.79343388767135 1.27546871
23 4342058 1.57449676101039 1.31720388
23 4365059 0.586388345874729 1.35341841
23 4439745 1.1079207670318 1.39721331
23 4479274 1.23784624081402 1.44100822
23 4514654 2.306078746289 1.48480312
23 4535201 1.37907942114075 1.53218635
23 4578804 2.5037151955581 1.59231878
23 4603298 0.776103559107127 1.65364503
23 4671124 1.06884720218054 1.70628552
23 4702309 1.53059507112803 1.7396176
23 4727264 0.561862873449935 1.77781317
23 4795245 1.68191816981962 1.81600874
23 4817975 0.823229332726031 1.85423842
23 4861885 1.19675550405562 1.89038647
23 4892090 1.03176823176823 1.92653452
23 4927125 0.355510970800264 1.96268257
23 5028804 1.85903186618073 1.99883063
23 5050206 1.72677658634075 2.03861738
23 5076225 0.943985712784956 2.0835461
23 5123820 0.513466836283372 2.12847482
23 5242519 1.40228573935552 2.18942301
23 5288106 3.9842358432157 2.2533495
23 5309103 0.937234042553192 2.33700696
23 5404043 0.573304383122113 2.42598746
23 5559252 2.11071383608208 2.51496917
23 5598967 3.4672342621259 2.59879598
23 5622223 1.65397046584993 2.67942997
23 5673892 4.77119094821333 2.76488881
23 5694573 0.733819315997534 2.86356196
23 5832438 0.722773126053782 2.96473035
23 5972410 2.87910613887383 3.06589874
23 6007449 0.642779317595336 3.16678002
23 6164394 3.1733154737639 3.2676613
23 6198736 0.705699646322662 3.37663936
23 6375168 1.0572819958813 3.50114699
23 6493652 1.38684582743989 3.62641791
23 6581320 1.66630576303707 3.74800014
23 6654285 5.00749588138386 3.86958238
23 6678565 1.99205577622844 3.99116461
23 6714566 2.07549145604265 4.06288048
23 6756584 2.86842535386225 4.15008817
23 6787175 2.99345422379478 4.23783569
23 6821090 0.425944417406481 4.33935878
23 7059438 1.38839762367564 4.44088186
23 7132492 1.88709976251032 4.54231012
23 7191863 1.90446396950942 4.65434956
23 7251160 3.14961031731305 4.76727877
23 7272716 5.41366806136681 4.83517128
23 7287056 2.49205293819656 4.91280368
23 7318640 4.45618891588046 4.99151258
23 7336341 3.79499639162858 5.07039141
23 7357126 2.27434980681622 5.14927024
23 7391808 4.47261283737809 5.22814907
23 7409444 1.68663801398422 5.3070279
23 7456211 1.34095506859562 5.38590673
23 7515034 2.40807790939065 5.46478557
23 7547790 0.873592055861609 5.5436644
23 7604788 0.685945080716209 5.59345732
23 7685379 0.788947998119899 5.64873869
23 7778991 0.925834177832827 5.72259333
23 7858920 1.90452929592594 5.7965945
23 7898021 1.51257146369951 5.87106369
23 7930555 0.798438378042649 5.92027334
23 7998177 2.37207722559886 5.97426547
23 8026147 0.465419515873222 6.04061205
23 8179991 0.438399275069493 6.11221362
23 8343317 1.38935251303405 6.18381519
23 8401434 0.507828266094782 6.26456026
23 8567435 0.733060940624185 6.34886076
23 8682465 1.17181318230321 6.43318481
23 8743380 1.58631986718318 6.50456605
23 8788555 0.887903043968433 6.57622833
23 8877255 2.84941766708475 6.65498513
23 8905160 1.11920354475532 6.73449827
23 8976928 1.69468278456401 6.81482083
23 9024246 1.49898764014385 6.89501016
23 9057337 2.11346726190476 6.94461352
23 9078841 0.852342085304634 6.99006154
23 9134219 1.70004471810395 7.0372623
23 9163290 0.891497704667177 7.08668425
23 9205114 0.508426966292135 7.12397058
23 9278450 0.50065122524337 7.16125692
23 9352925 1.32986428521201 7.19854325
23 9381367 1.9710342943025 7.23636757
23 9403324 1.38241870567942 7.27964606
23 9434630 0.805336906157539 7.32292455
23 9488369 1.71721457746758 7.36620304
23 9513586 0.77408800551982 7.40950638
23 9558515 0.548450042130471 7.44428494
23 9626162 0.451125351102248 7.4813862
23 9708403 0.958162237545518 7.51848747
23 9747124 1.8441235059761 7.55558873
23 9767204 1.55843609275704 7.59261859
23 9790965 1.08072612654681 7.62964844
23 9825229 0.955859576664946 7.66667829
23 9863969 1.56297484382914 7.70370814
23 9887661 0.416071027197123 7.74073799
23 9976641 0.517971195992486 7.77776037
23 10048506 0.418162618796199 7.81498432
23 10137524 1.12682722647949 7.85220827
23 10168582 1.71034112012511 7.88720489
23 10189044 0.591061025690001 7.92220152
23 10262341 1.38044710602052 7.96552481
23 10296740 1.47842051218222 8.01301086
23 10328877 0.564362668820602 8.06052323
23 10413064 0.813987946592082 8.10803561
23 10473130 0.648921627181631 8.15692844
23 10548475 0.827050101100876 8.20582127
23 10615240 1.48413948847224 8.26103895
23 10653322 1.96033432904412 8.31755791
23 10688138 3.02692909863565 8.38580898
23 10710493 0.432666904147 8.45347582
23 10845241 1.23211236685909 8.51177664
23 10894437 0.932337650352232 8.57239201
23 10959451 2.83794640886417 8.63300739
23 10982104 1.2819653824679 8.69729554
23 11032252 1.27177052423343 8.7615837
23 11082802 0.617148515993808 8.82587186
23 11186811 0.797963724966124 8.89006125
23 11267252 1.08885977289525 8.95425064
23 11326784 0.400113168150338 9.0190726
23 11452261 1.22580723891343 9.06927737
23 11493234 1.42434017595308 9.11950204
23 11520514 1.00325329202169 9.15835786
23 11559244 2.44215849945988 9.19721368
23 11579610 1.96655123863161 9.24695026
23 11605889 3.55734661977335 9.29862882
23 11616125 1.52035762526532 9.33504156
23 11647219 0.765590074184457 9.38231559
23 11708957 0.691530186151184 9.42958205
23 11785830 1.11676464625988 9.48274228
23 11835160 0.61763670433252 9.53783222
23 11923215 2.38599780501189 9.59221836
23 11945083 1.1160443132726 9.64439539
23 11991841 1.00628639747001 9.69657967
23 12043699 1.5559031012911 9.74876395
23 12073751 0.600792369772561 9.79552191
23 12141901 0.466659651865436 9.83646552
23 12208427 1.05037516940469 9.86751028
23 12238680 0.924991010427904 9.89928725
23 12266490 0.337138360835205 9.92501129
23 12354181 0.721231489839233 9.95457481
23 12395172 0.46928473919807 9.98413833
23 12458170 0.498990457751348 10.01370186
23 12530480 1.29124072258787 10.0497836
23 12559044 1.28588124533325 10.08666626
23 12589847 0.267312187414304 10.12627515
23 12743005 0.367541716912485 10.1672166
23 12840028 0.458468019712787 10.20287643
23 12915512 0.430733691904565 10.2374833
23 13002524 1.18792132879283 10.27496188
23 13031302 1.17271137026239 10.30914807
23 13065602 1.88951521984216 10.34937215
23 13086890 0.980857860469653 10.38959624
23 13127899 0.707282781891461 10.42982033
23 13191913 0.563962033830747 10.47509637
23 13272195 0.432377440678614 10.52037241
23 13376879 0.879418886198547 10.56563537
23 13428504 0.748693085308135 10.61103511
23 13489143 1.38417023882425 10.65643485
23 13521803 0.301987319516224 10.70164209
23 13671955 0.973349628009691 10.74698575
23 13718596 1.53141882286039 10.79238398
23 13750249 1.99942253753506 10.84085837
23 13774493 3.00319282046857 10.88933276
23 13797670 2.58130910439459 10.95893736
23 13824635 3.15829767186212 11.02854196
23 13850106 3.90623482567738 11.10898746
23 13870700 0.588487029802923 11.18943296
23 14007398 1.650900399052 11.26987845
23 14056765 2.06288797506483 11.3513783
23 14094944 2.4997772034578 11.43013777
23 14117386 1.14364228958524 11.48623786
