Chromosome Position(bp) Rate(cM/Mb) Map(cM)
24 0 0 0
24 300821 10.9497944511725 0
24 391651 0 0.99456983
24 412291 0 0.99456983
24 438309 0 0.99456983
24 465578 0 0.99456983
24 520222 0 0.99456983
24 548386 0 0.99456983
24 622549 0 0.99456983
24 684437 0 0.99456983
24 728865 0.87384097840342 0.99456983
24 857728 1.48538676607643 1.1071756
24 901721 0 1.17252222
24 944453 0 1.17252222
24 980184 0 1.17252222
24 1025273 2.52835211870451 1.17252222
24 1046300 0.875707850495098 1.22568588
24 1167286 0 1.33163427
24 1191783 3.53773425818242 1.33163427
24 1215859 1.21197429948889 1.41680876
24 1271033 8.86934218792066 1.48367823
24 1293319 0 1.68134039
24 1313457 0 1.68134039
24 1346177 0 1.68134039
24 1368237 0 1.68134039
24 1398867 0 1.68134039
24 1468856 0 1.68134039
24 1526726 0 1.68134039
24 1560468 0 1.68134039
24 1570277 0 1.68134039
24 1617104 0 1.68134039
24 1617199 4.57212494708797 1.68134039
24 1657360 0.021228423791549 1.8649615
24 1793795 10.5713147689576 1.8678578
24 1815198 0 2.09411565
24 1855480 0 2.09411565
24 1876881 1.45692563542495 2.09411565
24 1897025 0 2.12346396
24 1921310 0 2.12346396
24 1940886 2.03663029293349 2.12346396
24 1976901 0 2.1968132
24 1993052 0 2.1968132
24 2064684 6.14241031139706 2.1968132
24 2087067 0.0714332410817399 2.33429877
24 2132956 1.53022064039529 2.33757677
24 2173837 0.361273034765541 2.40013372
24 2236514 0 2.42277723
24 2274958 2.14309006883937 2.42277723
24 2295731 0 2.46729564
24 2317459 1.23174418699286 2.46729564
24 2440330 2.6790480309852 2.61864128
24 2491193 1.56309932907871 2.7549057
24 2533970 0 2.8217704
24 2561659 0.902469226013155 2.8217704
24 2597241 10.6848593338981 2.85388206
24 2619670 2.32812796769792 3.09353277
24 2708333 0 3.29995158
24 2741248 0.5098959881129 3.29995158
24 2766149 2.7767281499509 3.3126485
24 2789570 0 3.37768225
24 2816336 0 3.37768225
24 2847285 2.61229676875864 3.37768225
24 2880523 3.65441609238221 3.46450977
24 2901999 4.68705370954162 3.54299201
24 2953070 0 3.78236453
24 2997648 0 3.78236453
24 3020392 0 3.78236453
24 3058858 0 3.78236453
24 3079822 4.3325806298277 3.78236453
24 3121897 2.06884493268985 3.96465786
24 3184889 5.51895537742725 4.09497854
24 3208218 5.24726050079413 4.22373025
24 3237811 4.12219522646442 4.37901243
24 3261148 0 4.4752121
24 3288737 3.20919456772951 4.4752121
24 3337630 1.17821458044353 4.63211925
24 3451536 3.40168132491663 4.76632496
24 3479734 0 4.86224557
24 3510475 1.61541689109126 4.86224557
24 3566173 3.38726346375829 4.95222106
24 3591296 0.65872357185619 5.03731928
24 3654770 16.8281250703802 5.0791311
24 3681411 0 5.52744918
24 3712541 0 5.52744918
24 3725020 0 5.52744918
24 3851938 0 5.52744918
24 3882222 0 5.52744918
24 3943627 0 5.52744918
24 3965211 0 5.52744918
24 4007678 0 5.52744918
24 4048939 1.41310847407553 5.52744918
24 4109866 2.0677803814714 5.61354564
24 4164916 2.94314253744192 5.72737695
24 4188152 1.03481137419272 5.79576381
24 4196979 0.39191515943645 5.80489809
24 4249006 0.622377885395408 5.82528826
24 4330364 0.895709616888193 5.87592368
24 4394314 0.831182305557079 5.93320431
24 4467806 1.46344538338235 5.99428956
24 4532063 0 6.08832617
24 4581542 0.720186104218342 6.08832617
24 4612976 3.8279370176162 6.1109645
24 4646922 0 6.24090765
24 4694753 3.6640947218996 6.24090765
24 4748996 0.422346366862357 6.43965914
24 4779149 1.81158579599618 6.45239415
24 4842089 0.838889179483566 6.56641536
24 4941502 0 6.64981185
24 4963101 0 6.64981185
24 4992922 1.00283525573809 6.64981185
24 5027254 0 6.68424119
24 5052764 3.38952689025599 6.68424119
24 5077959 1.82905314794931 6.76964032
24 5112410 1.39449854165933 6.83265303
24 5169324 5.45577599054425 6.91201952
24 5208242 0.909212802837254 7.12434741
24 5333433 0 7.23817267
24 5415601 6.81392639918223 7.23817267
24 5454731 0 7.50480161
24 5498951 1.75514178940426 7.50480161
24 5548990 0 7.59262715
24 5578819 0.75405736384142 7.59262715
24 5603643 0 7.61134587
24 5633248 1.35171009663446 7.61134587
24 5768293 1.07707487422314 7.79388756
24 5818978 0 7.8484791
24 5843675 0 7.8484791
24 5883498 5.42915488215486 7.8484791
24 5904288 0 7.96135123
24 5956553 0.108771401786161 7.96135123
24 5997087 0 7.96576017
24 6030003 0 7.96576017
24 6066463 1.54434147991543 7.96576017
24 6125588 0 8.05706936
24 6158659 0.209815814188194 8.05706936
24 6230000 1.1462477445098 8.07203783
24 6298167 0 8.1501741
24 6377791 1.60141495544363 8.1501741
24 6429411 2.57799948377281 8.23283914
24 6576633 0.58171276984293 8.61237738
24 6628654 1.73654905542471 8.64263866
24 6732669 0 8.82326581
24 6909242 0.694793296089364 8.82326581
24 6937882 4.51834478367241 8.84316469
24 6967721 2.07336116439126 8.97798758
24 7003173 0 9.05149238
24 7039736 0 9.05149238
24 7065050 0 9.05149238
24 7100407 0 9.05149238
24 7131540 1.17920861671553 9.05149238
24 7201822 0.15124527244711 9.13436952
24 7316046 0 9.15164536
24 7348859 5.3592287917738 9.15164536
24 7392427 0 9.38513624
24 7426213 0 9.38513624
24 7467215 0 9.38513624
24 7499698 0 9.38513624
24 7526945 0 9.38513624
24 7552538 0 9.38513624
24 7613273 1.70787636258283 9.38513624
24 7640886 0 9.43229583
24 7657753 0 9.43229583
24 7660372 0 9.43229583
24 7682625 0 9.43229583
24 7721264 1.56105903664824 9.43229583
24 7785851 4.58245688416219 9.53311995
24 7813683 3.91735512516265 9.66065889
24 7892061 0.137610908538441 9.96769335
24 7918389 1.98745689441814 9.97131637
24 7978996 0 10.09177017
24 8009327 0 10.09177017
24 8028456 5.44614028507128 10.09177017
24 8151092 1.7790459441102 10.75966303
24 8192316 1.58661428526752 10.83300242
24 8256270 0 10.93447275
24 8320822 1.93406428009517 10.93447275
24 8426329 0 11.13853007
24 8448581 2.21481429990071 11.13853007
24 8493896 0.461559295095523 11.23889438
24 8680134 0.612726530419035 11.32485426
24 8764637 0.70417877428254 11.37663149
24 8845096 0 11.43328901
24 8887538 0 11.43328901
24 8922556 1.1694530331278 11.43328901
24 8957421 0 11.47406199
24 9041112 0 11.47406199
24 9062167 1.65597448378675 11.47406199
24 9183580 0.591978536297918 11.67511882
24 9271822 0 11.72735619
24 9314649 0.710115196294876 11.72735619
24 9416562 0 11.79972616
24 9437760 8.5202959740399 11.79972616
24 9465803 0 12.03866082
24 9477890 0 12.03866082
24 9514257 1.30874380339624 12.03866082
24 9552181 0 12.08829362
24 9571010 0 12.08829362
24 9610032 0.23479906138394 12.08829362
24 9687593 0.168053949124502 12.10650487
24 9712320 0.32907393956279 12.11066034
24 9913322 0.590182764833406 12.17680486
24 10044310 1.15817084524119 12.25411172
24 10229062 2.85481460211242 12.4680861
24 10269111 1.79485704797746 12.58241857
24 10332349 0.796193613509579 12.69592174
24 10405660 0 12.75429149
24 10452692 0.437858300688906 12.75429149
24 10511916 0 12.78022321
24 10588074 32.600467519685 12.78022321
24 10590106 0 12.84646736
24 10643239 7.99984676503979 12.84646736
24 10664383 0.77502743102485 13.01561612
24 10714691 0.898973203661682 13.0546062
24 10777722 0 13.11126938
24 10804020 0 13.11126938
24 10859421 6.70684979672563 13.11126938
24 10904926 0 13.41646458
24 10958208 3.74865574146235 13.41646458
24 11010564 2.14833161996972 13.6127292
24 11064065 0 13.72766709
24 11103928 2.05598591900102 13.72766709
24 11164151 0.954617044825698 13.85148473
24 11200291 0 13.88598459
24 11242782 0.0826788332049739 13.88598459
24 11323276 0.602310555307307 13.89263974
24 11343427 2.40193328041448 13.9047769
24 11391299 1.88478623814919 14.01976225
24 11424841 5.47311442087367 14.08298175
24 11451899 1.19978977094441 14.23107328
24 11471021 0.328235597149437 14.25401566
24 11505962 1.05954922175063 14.26548454
24 11550485 1.90105764302854 14.31265885
24 11587558 0 14.38313676
24 11615091 0.0607423492576644 14.38313676
24 11664596 0.208965096080791 14.38614381
24 11738284 0 14.40154203
24 11764479 7.61180221300138 14.40154203
24 11800629 0 14.67670868
24 11843948 0 14.67670868
24 11894653 0 14.67670868
24 11926596 0 14.67670868
24 12020111 2.03823305948486 14.67670868
24 12052489 3.02449206250581 14.74270259
24 12116867 0 14.93741334
24 12195639 0 14.93741334
24 12221462 0 14.93741334
24 12243058 0.414744204838135 14.93741334
24 12381665 0.767625527517012 14.99489979
24 12474553 0 15.06620299
24 12575050 0 15.06620299
24 12616739 1.0916856786145 15.06620299
24 12710452 0.440018656402843 15.16850813
24 12769949 0 15.19468792
24 12855197 0 15.19468792
24 12946991 3.60532347096492 15.19468792
24 12978694 0.653683327267585 15.30898749
24 13028152 0.132407793022738 15.34131736
24 13063209 1.63020226972816 15.34595918
24 13157934 0 15.50038009
24 13228386 0 15.50038009
24 13279469 1.34367833440456 15.50038009
24 13417942 0.508062639055235 15.68644326
24 13458843 2.66376511523018 15.70722353
24 13505402 0.643724193371493 15.83124577
24 13532769 1.56620167324699 15.84886257
24 13675366 0 16.07219823
24 13777849 0.804157670390797 16.07219823
24 13889284 0.356309488960175 16.16180954
24 14049839 1.50355687001973 16.21901681
24 14135552 0 16.34789118
24 14175628 0.101741610980029 16.34789118
24 14397704 0.0918483521881504 16.37048555
24 14466917 0 16.37684265
24 14536021 0 16.37684265
24 14558754 0 16.37684265
24 14600780 4.13132461810691 16.37684265
24 14628471 0 16.49124316
24 14651618 0.85340844463013 16.49124316
24 14725819 0 16.55456692
24 14772616 0.650256172122891 16.55456692
24 14798458 1.11536467830163 16.57137084
24 14875238 0 16.65700854
24 14922727 1.42675194939413 16.65700854
24 14954660 0 16.70256901
24 14988931 0.788639935813013 16.70256901
24 15086147 1.3547454288222 16.77923743
24 15141986 0 16.85488506
24 15183669 0 16.85488506
24 15222152 0.622711411276068 16.85488506
24 15386358 0 16.95713801
24 15423390 0 16.95713801
24 15810051 0 16.95713801
24 15849402 3.51091697358366 16.95713801
24 15965883 1.74061718894296 17.36609313
24 15998369 0.593650108955557 17.42263882
24 16356772 0.240507514601411 17.6354048
24 16464296 0 17.66126513
24 16499172 0 17.66126513
24 16546106 0 17.66126513
24 16577706 1.59204493315402 17.66126513
24 16666193 0.276686924132548 17.80214041
24 16717203 0.173771104097478 17.81625421
24 16789760 0 17.82886252
24 16839012 2.24971585131613 17.82886252
24 16874416 0 17.90851146
24 16947207 0.65943892568071 17.90851146
24 16990695 1.97839531017573 17.93718914
24 17013553 0.372997440312772 17.9824113
24 17120988 0.959483549640361 18.02248428
24 17169376 0.897038297851982 18.06891177
24 17587389 1.84197129568116 18.44388544
24 17625014 0.910194252215689 18.51318961
24 17682671 1.68738555662653 18.56566868
24 17733504 2.48990402387923 18.65144355
24 17820609 2.69892938137835 18.86832664
24 17915853 0 19.12538347
24 17943061 0 19.12538347
24 18007250 0 19.12538347
24 18029890 0 19.12538347
24 18063485 0.638537775366258 19.12538347
24 18293860 0 19.27248661
24 18333563 0 19.27248661
24 18407618 0 19.27248661
24 18473108 0 19.27248661
24 18498586 0 19.27248661
24 18582720 0 19.27248661
24 18629301 3.21786052105845 19.27248661
24 18678355 0.994760131469028 19.43033554
24 18806446 0 19.55775536
24 18873497 0 19.55775536
24 18924463 5.38253518826941 19.55775536
24 18955084 0 19.72257397
24 18993046 0.64182925240954 19.72257397
24 19023758 0 19.74228583
24 19057547 0.903101204382283 19.74228583
24 19151288 0 19.82694344
24 19184936 0.249026878155711 19.82694344
24 19224150 1.7209309366131 19.83670878
24 19261145 0 19.90037462
24 19342724 0.648666177653693 19.90037462
24 19384986 0 19.92778855
24 19437043 0.924837143952016 19.92778855
24 19491846 0 19.9784724
24 19565904 0.798465309271545 19.9784724
24 19672186 0 20.06333489
24 19713870 0 20.06333489
24 19726696 0 20.06333489
24 19747897 0.432537727666965 20.06333489
24 19770957 0.959481695283119 20.07330921
24 19811493 1.76095687264814 20.11220276
24 19851885 1.06376927601461 20.18333133
24 19890988 0 20.2249279
24 19926418 0 20.2249279
24 19999059 0 20.2249279
24 20047195 0 20.2249279
24 20086919 0 20.2249279
