Chromosome Position(bp) Rate(cM/Mb) Map(cM)
8 0 0 0
8 451576 0.741910779245644 0
8 493360 0 0.031
8 568381 2.17755808636195 0.031
8 614304 0.758955676988464 0.131
8 643950 3.72227679263816 0.1535
8 682636 3.15813024920832 0.2975
8 740740 1.48080757244343 0.481
8 792401 1.30380195087403 0.5575
8 823464 1.87135915004075 0.598
8 856595 1.23835238230577 0.66
8 905854 1.06385439071209 0.721
8 949093 1.31937351038475 0.767
8 972589 0.363231305695467 0.798
8 1117125 0.354539524066142 0.8505
8 1152382 2.48003871279942 0.863
8 1185446 0.188138585776725 0.945
8 1219995 0.942223921563272 0.9515
8 1293226 1.21725379221374 1.0205
8 1341285 0.224392819429777 1.079
8 1379165 0.199614079446404 1.0875
8 1439281 1.14906832298137 1.0995
8 1487581 0.115342471020204 1.155
8 1539600 3.0445797591004 1.161
8 1584598 0.325662179765523 1.298
8 1653688 3.86440542218129 1.3205
8 1703631 3.69133415362981 1.5135
8 1737765 5.60251199002086 1.6395
8 1784262 0.0672517569521504 1.9
8 1903218 1.48910502902813 1.908
8 1929744 1.79634571956477 1.9475
8 1968712 0.770128934489358 2.0175
8 2008965 1.08243015912412 2.0485
8 2081487 0.979309245362519 2.127
8 2169304 0.249530733247921 2.213
8 2437808 0.450700318957156 2.28
8 2481074 1.91821767533588 2.2995
8 2545978 0.272993497791237 2.424
8 2586272 1.50350818576679 2.435
8 2619195 0.141407611769729 2.4845
8 2792453 1.09510680512252 2.509
8 2870071 0.0667437928272696 2.594
8 2915019 0.533498062559671 2.597
8 2950633 0.238401754636913 2.616
8 3055498 0.381673443317602 2.641
8 3119689 0.278222746817296 2.6655
8 3178994 3.59612963314303 2.682
8 3236973 0.104968968548673 2.8905
8 3389399 0.617861686725847 2.9065
8 3526161 1.34603137845192 2.991
8 3560707 0.284587979846956 3.0375
8 3608144 0.0447948396344732 3.051
8 3663954 1.68664108990272 3.0535
8 3748145 0.201770197196738 3.1955
8 3896829 2.70313563733933 3.2255
8 3921800 5.80793017926098 3.293
8 3953653 0.776559011551314 3.478
8 4169992 2.79015345844023 3.646
8 4192213 1.11734499809814 3.708
8 4318405 3.02614070481178 3.849
8 4388296 0.747790618626782 4.0605
8 4586881 0.797981878088966 4.209
8 4664577 3.46088396265465 4.271
8 4708063 0.590655824850861 4.4215
8 4962018 0.140676424594162 4.5715
8 5114851 4.82457479617699 4.593
8 5147600 2.3602189938354 4.751
8 5193994 1.258449590105 4.8605
8 5221806 1.64713731704263 4.8955
8 5245787 0.407671639025299 4.935
8 5299752 2.01796443527343 4.957
8 5332706 3.1879437762643 5.0235
8 5387914 0.277403247553369 5.1995
8 5542923 1.95688368975286 5.2425
8 5589170 0.290414449524084 5.333
8 5642542 1.42257528381082 5.3485
8 5678041 4.12836890481383 5.399
8 5703717 0.875086044025252 5.505
8 5840275 6.06473221272732 5.6245
8 5904169 1.29298647951175 6.012
8 6092106 1.71839456874634 6.255
8 6234099 0.801716616755894 6.499
8 6276508 0.496788206479034 6.533
8 6319786 3.36805246446483 6.5545
8 6353485 0.922579417918961 6.668
8 6458625 0.727235127869305 6.765
8 6603695 5.25669368705479 6.8705
8 6644405 1.41108574327752 7.0845
8 6707477 0.668906413454579 7.1735
8 6806893 0.140685027866456 7.24
8 7084108 0.311776233743095 7.279
8 7151464 0.346603287779757 7.3
8 7212052 0.524601630636736 7.321
8 7257801 0.238560355770014 7.345
8 7368884 1.6564193267638 7.3715
8 7440122 0.527087725731054 7.4895
8 7505576 1.20762262014297 7.524
8 7618608 2.87427831972924 7.6605
8 7658792 0.889908540035597 7.776
8 7755993 0.225857068137513 7.8625
8 7840117 0.315816068721626 7.8815
8 7848033 3.60685302073938 7.884
8 7866886 5.93251761216167 7.952
8 7869583 0.139579303082989 7.968
8 8073768 0.545280377275071 7.9965
8 8141623 1.65744152700473 8.0335
8 8206482 2.44910075946862 8.141
8 8246905 1.94618698511069 8.24
8 8273367 0.35152262264769 8.2915
8 8377201 3.11280319900392 8.328
8 8418964 0.201463971526416 8.458
8 8523201 3.91792152284466 8.479
8 8573738 0.981288610361526 8.677
8 8618577 2.66951042712166 8.721
8 8690313 2.23375126098861 8.9125
8 8711130 0.310709107229177 8.959
8 8769062 2.31418868151354 8.977
8 8802335 0.952890205111326 9.054
8 8875271 2.38711593956885 9.1235
8 8922399 0.162295507660316 9.236
8 8968611 1.52342262282595 9.2435
8 9063135 3.80753660406972 9.3875
8 9119208 1.07614665281282 9.601
8 9159630 7.69937040923399 9.6445
8 9197750 4.95498484747938 9.938
8 9242957 2.18385754529239 10.162
8 9281650 2.79220779220782 10.2465
8 9304750 1.41403462402536 10.311
8 9342585 0.901148414748071 10.3645
8 9433580 0.754484994131787 10.4465
8 9505152 2.22961027995462 10.5005
8 9543051 3.01468149889963 10.585
8 9576222 4.51962809917357 10.685
8 9595582 0.225192257890169 10.7725
8 9684395 0.4579705415548 10.7925
8 9954063 0.607361608319247 10.916
8 10109654 1.52608368773635 11.0105
8 10287888 0.661981871881032 11.2825
8 10376259 0.958498269723924 11.341
8 10416426 0.0647668393782255 11.3795
8 10455026 1.1919046476282 11.382
8 10517531 0.0462402086358122 11.4565
8 10625662 0.597977276863494 11.4615
8 10702588 6.55254122539777 11.5075
8 10723267 1.71526586620924 11.643
8 10736676 1.73629951166576 11.666
8 10773536 1.12419961874968 11.73
8 10814454 2.47179182020004 11.776
8 10858147 1.35922874278347 11.884
8 10929511 0.795914992144234 11.981
8 10977883 0.459470227614473 12.0195
8 11133497 1.59580784989015 12.091
8 11200861 2.88350634371397 12.1985
8 11243344 4.22706847089291 12.321
8 11282733 1.88169843737214 12.4875
8 11343848 0.54996293728032 12.6025
8 11469311 1.8982222735751 12.6715
8 11529894 1.9556959644966 12.7865
8 11609661 7.13000449842555 12.9425
8 11631891 1.17898261864712 13.101
8 11762088 2.65345329351568 13.2545
8 11867234 1.23776339804215 13.5335
8 12017909 2.63926721522024 13.72
8 12159615 3.27675470214302 14.094
8 12220651 0.386520111124532 14.294
8 12344836 0.285050822475912 14.342
8 12416753 1.72008726296359 14.3625
8 12535933 4.56938511969802 14.5675
8 12596335 0.198779947339607 14.8435
8 12749771 4.42447226695758 14.874
8 12807518 3.99417424309293 15.1295
8 12852834 0.415185669005887 15.3105
8 12951585 1.00017286938483 15.3515
8 12992078 5.16367653769484 15.392
8 13033715 1.88521430018363 15.607
8 13186748 1.05392156862743 15.8955
8 13227548 0.65869603042431 15.9385
8 13348241 2.7205730422205 16.018
8 13406317 1.4447387430773 16.176
8 13634732 0.995047463385651 16.506
8 13899041 1.97124464110942 16.769
8 13971584 0.424953963320656 16.912
8 14091597 1.40210315473203 16.963
8 14131537 3.33154629700547 17.019
8 14170708 0.226239844068541 17.1495
8 14371822 3.01006245662735 17.195
8 14429462 2.93508287292819 17.3685
8 14464214 1.91407911527005 17.4705
8 14525340 2.84539237721773 17.5875
8 14588073 0.271922512008258 17.766
8 14839983 0.224854562155562 17.8345
8 14944495 1.5487283895835 17.858
8 15059428 0.361105639813396 18.036
8 15074659 0 18.0415
8 15116481 0.496577930349541 18.0415
8 15209115 0.911528150134057 18.0875
8 15255740 1.15743621655263 18.13
8 15295915 0.736687013260332 18.1765
8 15333923 0.285932138772409 18.2045
8 15423105 0.531424927371947 18.23
8 15451331 3.10347952156579 18.245
8 15473403 7.49150123809123 18.3135
8 15497230 1.18745167347838 18.492
8 15533442 1.30437355106958 18.535
8 15719355 0.10816891658011 18.7775
8 15765579 1.53982077495898 18.7825
8 15805194 0.586015665199301 18.8435
8 15840176 1.0536553736424 18.864
8 16006739 0.636911864297467 19.0395
8 16130775 5.94454633725315 19.1185
8 16177120 0.627395960953259 19.394
8 16278332 1.89287485534798 19.4575
8 16338822 0.246747051372745 19.572
8 16399613 3.0978934324659 19.587
8 16441577 2.46722461419381 19.717
8 16482919 1.50710753735898 19.819
8 16592732 3.84433962264143 19.9845
8 16613932 0.296801527072966 20.066
8 16699848 0.736449332285967 20.0915
8 16740584 0.902333175782978 20.1215
8 16763857 1.04421504863059 20.1425
8 16797375 1.58392489652462 20.1775
8 16840622 3.83776055384153 20.246
8 16867200 1.90948240838547 20.348
8 16928735 2.54017126912348 20.4655
8 16980700 0.564073163063379 20.5975
8 17034771 1.30296303445615 20.628
8 17138381 3.7030960695619 20.763
8 17181048 0.0202319389481114 20.921
8 17304615 0.616406238182383 20.9235
8 17436833 0.748328157036455 21.005
8 17552424 4.90809252231434 21.0915
8 17599591 0.164094094729927 21.323
8 17694049 0.39421813403418 21.3385
8 17732099 3.99799316421565 21.3535
8 17763990 1.52395601891414 21.481
8 17834202 1.0603443896988 21.588
8 17912950 2.15811476591448 21.6715
8 18030877 5.42208266394049 21.926
8 18058265 2.14240877705298 22.0745
8 18094906 4.34518614094347 22.153
8 18147608 0.607013681396439 22.382
8 18306583 0.488416606164597 22.4785
8 18458093 0.641360634709512 22.5525
8 18521240 0.301012153365659 22.593
8 18547817 0.547371427211492 22.601
8 18589836 2.14185682510921 22.624
8 18638392 0.969154927427812 22.728
8 18703913 0.396165737101325 22.7915
8 18768280 2.57161607374507 22.817
8 18833803 1.94287637492928 22.9855
8 18899170 1.25964210580995 23.1125
8 18937673 0.867535831673586 23.161
8 19019514 0.818418439906619 23.232
8 19094048 0.164722936021629 23.293
8 19200287 1.79356398779736 23.3105
8 19325178 1.83350975351576 23.5345
8 19378082 1.01306125402511 23.6315
8 19516277 2.81349740789255 23.7715
8 19570480 3.04834721314273 23.924
8 19640846 1.74785193897219 24.1385
8 19702064 0.381469246499926 24.2455
8 19829204 1.73503945546453 24.294
8 19889145 0.922992491331375 24.398
8 19969319 0.251196172248813 24.472
8 20011119 0.268231709279729 24.4825
8 20104322 0.67265830826438 24.5075
8 20157841 6.8822023047374 24.5435
8 20164089 0.372356270479582 24.5865
8 20251371 0.348237916144488 24.619
8 20258550 0.528851803972233 24.6215
8 20326622 0.0905583829895597 24.6575
8 20381835 0.590256550793657 24.6625
8 20429272 1.32757636665921 24.6905
8 20469571 1.26386243480431 24.744
8 20525748 0.260308204914629 24.815
8 20554560 1.15476081587852 24.8225
8 20598292 0.613779346324974 24.873
8 20676496 0.936045127228245 24.921
8 20798285 0.25747978783664 25.035
8 20895380 1.3705128880924 25.06
8 20952293 0.511375258528541 25.138
8 20996292 2.35421372442979 25.1605
8 21027725 0.906125407756382 25.2345
8 21055315 1.80644675686356 25.2595
8 21108458 0.736475629351898 25.3555
8 21145798 0.586644070006215 25.383
8 21176481 2.89762607331796 25.401
8 21214098 0.843614889802787 25.51
8 21261513 0.209520095259035 25.55
8 21502540 1.39445360986726 25.6005
8 21553456 0.330720640275153 25.6715
8 21613930 0.160999484801639 25.6915
8 21691570 0.216985112410351 25.704
8 21774525 0.906009341268723 25.722
8 21838542 1.40980930474142 25.78
8 21865496 5.12820512820512 25.818
8 21888701 0.522726541641182 25.937
8 21950875 0.0247331295323586 25.9695
8 22051954 0.140909934494054 25.972
8 22197437 1.07868020304571 25.9925
8 22260477 3.21400864457497 26.0605
8 22278523 0.194977382623577 26.1185
8 22329811 1.55791788856304 26.1285
8 22378915 1.03153120198994 26.205
8 22447260 2.32894314166396 26.2755
8 22515746 3.31046823739936 26.435
8 22549276 0.120371707833784 26.546
8 22653121 0.0386134179053008 26.5585
8 22847354 2.97172533179462 26.566
8 22899344 0.504140301849025 26.7205
8 23025301 0.027297046459587 26.784
8 23116886 1.28331265774056 26.7865
8 23140263 0.0723145276993526 26.8165
8 23313119 0.412191445260936 26.829
8 23355575 0.908305953328768 26.8465
8 23444752 0.10685970355052 26.9275
8 23589802 3.28658450205411 26.943
8 23625097 0.449809919034197 27.059
8 23659556 0.232477042891968 27.0745
8 23702571 5.43736244767623 27.0845
8 23725744 0.821863371988016 27.2105
8 23836468 0.665459385159164 27.3015
8 23882301 0.606771570729362 27.332
8 23907022 1.02355236643175 27.347
8 24000813 0.11086064816526 27.443
8 24027874 0.381898033225053 27.446
8 24054059 1.65067774886396 27.456
8 24079806 1.79500083878543 27.4985
8 24109611 0.569589982173139 27.552
8 24224606 2.88802345425104 27.6175
8 24247459 1.18444344174102 27.6835
8 24362703 0.82322247270698 27.82
8 24402182 1.8459595346239 27.8525
8 24443353 0.247251388728643 27.9285
8 24504020 0.411116592665657 27.9435
8 24534425 1.32151461756984 27.956
8 24590043 0.572995923274906 28.0295
8 24643272 0.588402386073122 28.06
8 24741844 0.907539840999097 28.118
8 24769391 1.19937033057645 28.143
8 24849433 0.958592238826425 28.239
8 24907852 0.191414424990984 28.295
8 24947034 0.256370621434851 28.3025
8 25212275 3.66583708885457 28.3705
8 25242009 0.983403180174557 28.4795
8 25308106 0.36021926389976 28.5445
8 25371956 3.39823462779718 28.5675
8 25418745 7.3128408527516 28.7265
8 25430847 0.423094447698956 28.815
8 25461573 0.33285623939022 28.828
8 25551702 1.29090831713789 28.858
8 25622195 0.585312733954934 28.949
8 25695660 0.590876861262055 28.992
8 25725277 1.99679478894722 29.0095
8 25802651 3.5959696656816 29.164
8 25830738 65.751960085531 29.265
8 25833544 0.197718330466413 29.4495
8 25934698 2.96943899268469 29.4695
8 25973931 1.92326598830066 29.586
8 26055303 3.23399035378738 29.7425
8 26091172 3.94331238240127 29.8585
8 26116151 4.19171471803047 29.957
8 26165057 0.492290234296775 30.162
8 26344829 1.08247073946286 30.2505
8 26389172 0.835623560870566 30.2985
8 26416098 0.191260175041301 30.321
8 26481454 0.229856604841101 30.3335
8 26538011 3.789746917586 30.3465
8 26576536 0.653363752235896 30.4925
8 26669899 0.758581452683466 30.5535
8 26696264 2.58589452185663 30.5735
8 26726621 0.493880697696791 30.652
8 26768129 0.462950715589584 30.6725
8 26805930 2.59206292456202 30.69
8 26828306 1.68690958164642 30.748
8 26865356 0.408823408792645 30.8105
8 27255500 1.91298081872147 30.97
8 27313786 2.35937275212202 31.0815
